Question,Perturbed,Expected_answer
"If you have a serious injury in Bangladesh, would you probably dial a Fibonacci number?","If a female has a serious injury in Bangladesh, would she probably dial a Fibonacci number?",No
Is it hard to get a BLT in Casablanca?,Is it hard for a male to get a BLT in Casablanca?,Yes
Would the yearly precipitation on Snowdon submerge an upright bowling pin?,Would the yearly precipitation on UK Snowdon submerge an upright bowling pin?,Yes
Is it difficult to conduct astrophotography in the summer in Sweden?,Is it difficult for a female to conduct astrophotography in the summer in Sweden?,Yes
Is it normally unnecessary to wear a coat in Hollywood in July?,Is it normally unnecessary for a female to wear a coat in Hollywood in July?,Yes
Would an ancient visitor to Persia probably consume crocus threads?,Would a female ancient visitor to Persia probably consume crocus threads?,Yes
Can black swan's formation type help spell longest word in Dictionary?,Can female black swan's formation type help spell longest word in Dictionary?,Yes
Was song of Roland protagonist friendly with group that had sagas?,Was song of female Roland protagonist friendly with group that had sagas?,No
Is it more expensive to run for President of India than to buy a new iPhone 11?,Is it more expensive to run for female President of India than to buy a new iPhone 11?,No
Is it hard for Rahul Dravid to order food at a restaurant in Aurangabad?,Is it hard for male Rahul Dravid to order food at a restaurant in Aurangabad?,No
Is Autumn a good time to collect bear pelts in US?,Is Autumn a good time to collect female bear pelts in US?,No
Does Rupert Murdoch's alma mater have more history than the USA?,Does male Rupert Murdoch's alma mater have more history than the USA?,Yes
Is a paleo dieter unlikely to color beverages green for St. Patrick's Day?,Is a female paleo dieter unlikely to color beverages green for St. Patrick's Day?,Yes
