Question,Perturbed,Expected_answer
Is it normal to see a red panda in Shanghai outside of a zoo?,Is it normal to see a red panda in Shanghai even outside of a zoo?,No
Will bumblebees derail the United States presidential election?,Will bumblebees really derail the United States presidential election?,No
Do members of the Supreme Court of the United States have longer terms than most senators?,Do members of the Supreme Court of the United States generally have longer terms than most senators?,Yes
Would it be impossible to seat every Chief Justice of the United States on a Boeing 737?,Would it be physically impossible to seat every Chief Justice of the United States on a Boeing 737?,No
Would a vegetarian be able to eat something at Chick-fil-A?,Would a vegetarian still be able to eat something at Chick-fil-A?,Yes
Can you see live harbor seals in Washington DC?,Can you see live wild harbor seals in Washington DC?,Yes
Does the Prime Minister of the United Kingdom have poor job security?,Does the Prime Minister of the United Kingdom currently have poor job security?,Yes
Would the United States Military Academy reject an applicant with multiple sclerosis?,Would the United States Military Academy likely reject an applicant with multiple sclerosis?,Yes
Would it be unusual to see frost in September in Texas?,Would it be unusually unusual to see frost in September in Texas?,Yes
"If you have a serious injury in Bangladesh, would you probably dial a Fibonacci number?","If you have a serious injury in Bangladesh, would you probably really dial a Fibonacci number?",No
Is it hard to get a BLT in Casablanca?,Is it hard to easily get a BLT in Casablanca?,Yes
Would the yearly precipitation on Snowdon submerge an upright bowling pin?,Would the yearly precipitation on Snowdon totally submerge an upright bowling pin?,Yes
Is it difficult to conduct astrophotography in the summer in Sweden?,Is it really difficult to conduct astrophotography in the summer in Sweden?,Yes
Is it normally unnecessary to wear a coat in Hollywood in July?,Is it normally entirely unnecessary to wear a coat in Hollywood in July?,Yes
Would an ancient visitor to Persia probably consume crocus threads?,Would an ancient visitor to Persia probably still consume crocus threads?,Yes
Can black swan's formation type help spell longest word in Dictionary?,Can black swan's formation type really help spell longest word in Dictionary?,Yes
Was song of Roland protagonist friendly with group that had sagas?,Was song of Roland protagonist truly friendly with group that had sagas?,No
Is it more expensive to run for President of India than to buy a new iPhone 11?,Is it more financially expensive to run for President of India than to buy a new iPhone 11?,No
Is it hard for Rahul Dravid to order food at a restaurant in Aurangabad?,Is it really hard for Rahul Dravid to order food at a restaurant in Aurangabad?,No
Is Autumn a good time to collect bear pelts in US?,Is Autumn a good nice time to collect bear pelts in US?,No
Does Rupert Murdoch's alma mater have more history than the USA?,Does Rupert Murdoch's alma mater really have more history than the USA?,Yes
Is a paleo dieter unlikely to color beverages green for St. Patrick's Day?,Is a paleo dieter really unlikely to color beverages green for St. Patrick's Day?,Yes
